year,make,model,review,
2007,Honda,Civic,"Great car, looks good, sounds good and saves gas for the performance it gives. I like that they add some luxury into it and they added Voice Command and Navigation system. Easily up-gradable car with higher performance parts to increase power. Very reliable, and not so costly to maintain or repair.","Sport/fun (spirited driving, track racing, off-roading, etc.)"
2009,Honda,Accord,"engine mang.system does not work right, honda says there is nothing wrong, then they come back and say yes there are reports of the issues i talk of. BUT they cant fix it or wont cause that says YES there is something wrong...CANT say that can you honda, just so many things wrong with this car there is a tech bullet out on the brakes upgrade the rear pads can fix the sounds back there.A/C smells bad jerks at speed milage sucks our GMCyukon suv got better than this HONDA!please do yourself a great justice DONT buy a accord and beware of colonial honda bad people bad bad people they tell you things and then dont follow through. I was a true believer i worked and owned a towing company for over 20 years all i could talk about was how great honda was that was until i got one of my own, I am sorry i made honda look so good for so long when they have made their self look soooo bad in just a few miles...PLEASE DONT PUT YOURSELF THROUGH IT buy something else please.I went to the dealer asked for help they all but put their middle finger up at me and said it not our car anymore you deal with it sucker.... who's the sucker now HONDA....the internet is a great thing",
2009,Honda,Accord,"I just bought a new honda accord and it has been nothing but problems , I bought it for payment wrong move. This car feels so tinny and handles like a slug not to mention it sounds like a street bike and it has been to the shop numerous times for repairs which has been a bit troublesome, this car is truly bad news . I should have bought the Malibu or Fusion they were a bit more but now I see why they felt more safe and alot more responsive . Don't make my mistake . The American cars are even better and alot more are made here in the US with pride. It is a bit more but I should have thought ""Do u buy processed cheese from the dollar store or do you get the deli cheese from stop and shop"" ? I bought the 99 cent processed cheese that really is not cheese if you know what I mean . There is a general misconception that honda is better who do they pay off for there reviews ? Do they get a tarrif for all the cars they import from japan that are made dirt cheap . So people Does Japan make a better vehicle no not at all ! I was a cheap fool lol. Does anyone remember World War 2 Hello. Was it Japan that made the first automobile. I DONT THINK SO. The salesman at honda said "" honda has factories in the US"" ok .. Later I find out that Honda has very few plants in the US. Plus all the profits returm to Japan bottom line the destruction our economy from within . This Car buying experience was the worst ever ! I will never buy a Honda Again or any Japanese Car Again or any of these tinny unsafe, unreliable glorified pieces of ishh. Buy American there are better then ever ! I became a yuppy dont let it happen to you! Looks like I will be trading in my Honda as I write this blog I realize that I will take a massive lost from the value dropping and buy a real car Dont make my mistake ! Thanks and God Bless ...",
2009,Honda,Accord,"This has been a very satisfying purchase. I bought a manual sedan for nostalgia... I had a stick for 10 years in my 20's. I am NOT a ""Honda blogger"" I am a 53 year old wife and mom. We have been a Toyota family for ten years (Still love Toyotas) BUT, in need of a new car, did not need something similar to the Landcruiser it was replacing. I searched many months and was drawn to the Accord. First appeal was the Europen look. The base price of the Ex L included all that I would have wanted but at additional cost IF I bought a Toyota. It is deceptively roomy inside and has enough zip especially considering it is 4cyl..A good, solid, practical vehicle. Don't know what those other two reviews are talking about. They're wrong.",
2007,Honda,Civic,"Its a great fun car with stunning looks and great MPG numbers.\nmy 2007 honda civic EX with 68000 miles still drives as good as other newer models. In my opinion, this model (8th Generation Civic) is still the BEST looking, even better the the new one.",
2007,Honda,Civic,"This car is economical and is better than most for the environment. It handles well and the body and the interior are solid, though the upholstery particularly in the front is badly stained. The heating/cooling system is great. The sound system is good, and we appreciate the aux in. Overall the car is attractive. However, like other hybrids it is sluggish and lacks power particularly on hills.",Commuting to work
2009,Honda,Accord,"It has the v6 automatic trans, which is an uncorfortable ride shifting in and out all the time ( the ecno mode is really annoying) the gas mileage is 16 if you are lucky in town and 22 on the road. The bucket seats suck for comfort and are no recaros
 The interior noise level is unbarable causing me to try to sound antunate the underside and trunk with not much suscess. I guess the raidos self adjustment to the noise level is thier answer, the radio adjusts itself louder as the faster you drive to cover for noise level. the heater seats are good for winter driving but the controls are in a very bad spot and are turned on unknowingly until your butt sweted up a puddle, the ride is extremly hard. The pluses for the car are it looks good, the power curve is increadble (v6) stearing wheel has good adjustment,
 Oh about the break problem that is a factory defect; I did get a settlement card that honda will pay for 121 bucks tward a break job neeeded at about 20 thousand miles. I currently have only 10,600 miles on the car and bought it new in 09 the brake problem is contrary to what honda is supposed to be about. In sumary I would not have purchased this car If I had the information I now have, I truly expected better mileage, my old buick got 19, this Honda 16 on a good day contary to the spec sheet. It is an uncomforatable car and aside form the good looks it is not a keeper. Sad but my 1st honda will be my last",
2009,Honda,Accord,"Replaced my 1995 Volvo GLT. Very nice car with firm, comfortable leather seats, very capable stereo and smooth utilitarian ride. The gas pedal-engine ""drive by wire"" interaction is my only complaint with occasional excessive revving and response. Overall I am very happy the the quality and value of my purchase. Time will tell about reliability.",
2009,Honda,Accord,"I leased a 2009 Honda Accord, I love all car manufacturers. All of them have their flaws. The Accord is a decent vehicle that is nicely appointed for its class. Only downside is that it is slightly large and handles like a boat. Other than that, I am 2000 miles or so in and have sqeaky brakes which they have attempted to fix with no luck. Good car for daily, mostly non-spirited driving. Good looks, clean lines. Comfortable. Additional cons, interior noise, loosely fitted ceiling panel, noisy at times.",
2009,Honda,Accord,"I am a ""retired"" amatuer & pro racer. Couldn't afford my usual choices of MB or BMW and Ford is even more expensive, NEVER saw such poor workmanship So I bought a Honda Accord Coupe V6 with a 6 Speed
 Manual, 18"" OZ made wheels, with fat Michelin Pilots. Every, I mean every, review and info, like here, says either a 5 Speed Manual, most say NO manual! Yes, they're rare, hard to get. The automatics feel like the old GM auto's constantly going in/out of lock up Torque Convertor. My 6 Speed is a Dream. The car is superb and handles like a Sport Benz or ""M"" BMW;s. At 27K a steal!",
2007,Honda,Accord,"I just recently leased a 2007 Honda Accord SE and I love it! I experienced by first Honda when I was given my mother's old car when I turned 16. (A 1993 Honda Accord EX - 2DR) At 136,000 miles that car was still going strong, so I didn't blink twice when I felt it was time to get a new car...Another Honda. First I considered the Civic; however, I felt it was smaller than what I needed. I love my new Honda, great gas mileage, stylish look, really spacious! The trunk is huge! The audio system and sound is great, my CD's sound awesome. Highly recommend.",
2007,Honda,Accord,"just shy of 94,000 miles, our one owner accord is still chugging along. car looks great for a 2007, and the paint quality is still that of a newer vehicle. the vehicle has slim lines, leaving minimal blind spots and an easy driving experience. the power drivers seat with lumbar support gives the proper about of knee and back support making for a comfortable commuter car. aside from regular maintenance, the car has been in the shop for a few unusual items, (master window switch, v-tech actuator, washer fluid motor) which didn't come at a cheap cost, and almost a little higher than most honda owners would probably expect. for a four cylinder, the car has good acceleration, tight handling, and a hefty breaking system, all making for an enjoyable driving experience with piece of mind.",Family transportation
2008,Honda,Element,"This is my second Element...the vehicle has served my life style both when I was younger and into sport activities and also now as I've aged. It is great for hauling bags of feed, building materials, etc. Medical issues force sale.","Utility (towing boats, transporting cargo, etc.)"
2008,Honda,Element,"I loved how the car makes you feel huge, meaning that the interior is spacious and head room is decent. Performance wise, the car is average but has power when it is needed. The only thing it needed was better gas mileage.",Family transportation
2009,Honda,Accord,Performance is as great as you can expect from a 2.4 L Engine which makes it fun to drive.\nQuality needs work. The carpeting in the interior tends to come out easily.\nAppearance is great. I love the interior and exterior look of this car.\nIt's pretty cheap to run this car in my opinion thus far.\nGreat car overall. Just wish the back seats folded down to create more cargo room.,The size and the fuel economy
